Model,AUC,Threshold,Net_Benefit
Voting Soft,0.8417036625971144,0.51,0.08012093726379439
Voting Soft,0.8417036625971144,0.52,0.07539682539682538
Voting Soft,0.8417036625971144,0.53,0.06518068220195877
Voting Soft,0.8417036625971144,0.54,0.06004140786749482
Voting Soft,0.8417036625971144,0.55,0.0558495002939447
Voting Soft,0.8417036625971144,0.56,0.04521404521404518
Voting Soft,0.8417036625971144,0.5700000000000001,0.04663467454165124
Voting Soft,0.8417036625971144,0.5800000000000001,0.04106827916351721
Voting Soft,0.8417036625971144,0.59,0.05045812362885535
Voting Soft,0.8417036625971144,0.6,0.044973544973545
Voting Soft,0.8417036625971144,0.61,0.04219237552570887
Voting Soft,0.8417036625971144,0.62,0.03648008911166806
Voting Soft,0.8417036625971144,0.63,0.04318604318604319
Voting Soft,0.8417036625971144,0.64,0.03762492651381538
Voting Soft,0.8417036625971144,0.65,0.031746031746031717
Voting Soft,0.8417036625971144,0.66,0.03050108932461873
Voting Soft,0.8417036625971144,0.67,0.01907968574635238
Voting Soft,0.8417036625971144,0.68,0.01256613756613753
Voting Soft,0.8417036625971144,0.6900000000000001,0.0056323604710701025
Voting Soft,0.8417036625971144,0.7000000000000001,-0.0017636684303351247
Voting Soft,0.8417036625971144,0.7100000000000001,-0.014960773581463305
Voting Soft,0.8417036625971144,0.72,-0.009826152683295536
Voting Soft,0.8417036625971144,0.73,-0.018224573780129316
Voting Soft,0.8417036625971144,0.74,-0.0024420024420024333
Voting Soft,0.8417036625971144,0.75,-0.021164021164021163
Voting Soft,0.8417036625971144,0.76,-0.04056437389770726
Voting Soft,0.8417036625971144,0.77,-0.05544053370140328
Voting Soft,0.8417036625971144,0.78,-0.07647907647907651
Voting Soft,0.8417036625971144,0.79,-0.07331821617535908
Voting Soft,0.8417036625971144,0.8,-0.08994708994709
Voting Soft,0.8417036625971144,0.81,-0.09050403787245898
Voting Soft,0.8417036625971144,0.8200000000000001,-0.11346266901822463
Voting Soft,0.8417036625971144,0.8300000000000001,-0.10146280734516036
Voting Soft,0.8417036625971144,0.8400000000000001,-0.12566137566137578
Voting Soft,0.8417036625971144,0.85,-0.11640211640211637
Voting Soft,0.8417036625971144,0.86,-0.10430839002267572
Voting Soft,0.8417036625971144,0.87,-0.0887260887260887
Voting Soft,0.8417036625971144,0.88,-0.07407407407407408
Voting Soft,0.8417036625971144,0.89,-0.09139009139009141
Voting Soft,0.8417036625971144,0.9,-0.11111111111111113
Voting Soft,0.8417036625971144,0.91,-0.13403880070546742
Voting Soft,0.8417036625971144,0.92,-0.16666666666666677
Voting Soft,0.8417036625971144,0.93,-0.13000755857898724
Voting Soft,0.8417036625971144,0.9400000000000001,0.005291005291005291
Voting Soft,0.8417036625971144,0.9500000000000001,0.005291005291005291
Voting Soft,0.8417036625971144,0.9600000000000001,0.005291005291005291
Voting Soft,0.8417036625971144,0.97,0.0
Voting Soft,0.8417036625971144,0.98,0.0
XGBoost Optimized,0.8397613762486126,0.01,0.26000748222970443
XGBoost Optimized,0.8397613762486126,0.02,0.2565597667638484
XGBoost Optimized,0.8397613762486126,0.03,0.254077346860852
XGBoost Optimized,0.8397613762486126,0.04,0.2511022927689594
XGBoost Optimized,0.8397613762486126,0.05,0.2425508214981899
XGBoost Optimized,0.8397613762486126,0.060000000000000005,0.2343802769334684
XGBoost Optimized,0.8397613762486126,0.06999999999999999,0.23325937304431926
XGBoost Optimized,0.8397613762486126,0.08,0.230503795721187
XGBoost Optimized,0.8397613762486126,0.09,0.2272806558520844
XGBoost Optimized,0.8397613762486126,0.09999999999999999,0.22457378012933568
XGBoost Optimized,0.8397613762486126,0.11,0.2166339694429582
XGBoost Optimized,0.8397613762486126,0.12,0.20947570947570948
XGBoost Optimized,0.8397613762486126,0.13,0.20330839871069756
XGBoost Optimized,0.8397613762486126,0.14,0.20105820105820105
XGBoost Optimized,0.8397613762486126,0.15000000000000002,0.1979458450046685
XGBoost Optimized,0.8397613762486126,0.16,0.19576719576719576
XGBoost Optimized,0.8397613762486126,0.17,0.1872888378912475
XGBoost Optimized,0.8397613762486126,0.18000000000000002,0.18402374499935475
XGBoost Optimized,0.8397613762486126,0.19,0.18067803252988437
XGBoost Optimized,0.8397613762486126,0.2,0.17724867724867724
XGBoost Optimized,0.8397613762486126,0.21000000000000002,0.17373250284642688
XGBoost Optimized,0.8397613762486126,0.22,0.16483516483516483
XGBoost Optimized,0.8397613762486126,0.23,0.16113516113516113
XGBoost Optimized,0.8397613762486126,0.24000000000000002,0.15733778891673628
XGBoost Optimized,0.8397613762486126,0.25,0.15343915343915343
XGBoost Optimized,0.8397613762486126,0.26,0.1494351494351494
XGBoost Optimized,0.8397613762486126,0.27,0.1400304414003044
XGBoost Optimized,0.8397613762486126,0.28,0.13580246913580246
XGBoost Optimized,0.8397613762486126,0.29000000000000004,0.1357776287353752
XGBoost Optimized,0.8397613762486126,0.3,0.12849584278155707
XGBoost Optimized,0.8397613762486126,0.31,0.12422360248447203
XGBoost Optimized,0.8397613762486126,0.32,0.1248054777466542
XGBoost Optimized,0.8397613762486126,0.33,0.12050856826976228
XGBoost Optimized,0.8397613762486126,0.34,0.12153278819945484
XGBoost Optimized,0.8397613762486126,0.35000000000000003,0.12006512006512005
XGBoost Optimized,0.8397613762486126,0.36000000000000004,0.11871693121693119
XGBoost Optimized,0.8397613762486126,0.37,0.11438649533887628
XGBoost Optimized,0.8397613762486126,0.38,0.1099163679808841
XGBoost Optimized,0.8397613762486126,0.39,0.10868245294474801
XGBoost Optimized,0.8397613762486126,0.4,0.1040564373897707
XGBoost Optimized,0.8397613762486126,0.41000000000000003,0.09927360774818401
XGBoost Optimized,0.8397613762486126,0.42000000000000004,0.09432585294654258
XGBoost Optimized,0.8397613762486126,0.43,0.09319595284507566
XGBoost Optimized,0.8397613762486126,0.44,0.08805744520030234
XGBoost Optimized,0.8397613762486126,0.45,0.08273208273208274
XGBoost Optimized,0.8397613762486126,0.46,0.07720948461689203
XGBoost Optimized,0.8397613762486126,0.47000000000000003,0.07617051013277429
XGBoost Optimized,0.8397613762486126,0.48000000000000004,0.07041107041107039
XGBoost Optimized,0.8397613762486126,0.49,0.06442577030812327
XGBoost Optimized,0.8397613762486126,0.5,0.0582010582010582
XGBoost Optimized,0.8397613762486126,0.51,0.05172227621207212
XGBoost Optimized,0.8397613762486126,0.52,0.04497354497354494
XGBoost Optimized,0.8397613762486126,0.53,0.03793763368231451
XGBoost Optimized,0.8397613762486126,0.54,0.03151598803772715
XGBoost Optimized,0.8397613762486126,0.55,0.013521457965902373
XGBoost Optimized,0.8397613762486126,0.56,0.005772005772005734
XGBoost Optimized,0.8397613762486126,0.5700000000000001,0.004675772117632537
XGBoost Optimized,0.8397613762486126,0.5800000000000001,-0.0035273368606702493
XGBoost Optimized,0.8397613762486126,0.59,-0.012130597496451123
XGBoost Optimized,0.8397613762486126,0.6,-0.021164021164021135
XGBoost Optimized,0.8397613762486126,0.61,-0.02238502238502238
XGBoost Optimized,0.8397613762486126,0.62,-0.03202450570871623
